fecha_consulta,titulo,evento
2025-08-01,"Batalla del Nilo","Las fuerzas británicas de Horatio Nelson derrotan a la flota de Napoleón Bonaparte en la Bahía de Abukir."
2025-08-02,"Invención de la bombilla","Thomas Edison patenta la primera bombilla incandescente viable comercialmente."
2025-08-03,"Inauguración de la Torre Eiffel","La Torre Eiffel se abre al público como la estructura más alta del mundo en la Exposición Universal de París."
2025-08-04,"Fundación de la ciudad de Caracas","El conquistador español Francisco de Miranda funda la ciudad de Santiago de León de Caracas en el valle de Anauco."
2025-08-05,"Descubrimiento del Canal de Suez","Ferdinand de Lesseps inaugura el Canal de Suez, que conecta el mar Mediterráneo y el mar Rojo."
2025-08-06,"Nacimiento de Andy Warhol","Nace el artista estadounidense Andy Warhol, una figura central en el movimiento de arte pop."
2025-08-07,"Primer vuelo en globo","El primer globo aerostático tripulado con éxito es lanzado en los jardines de Versalles en Francia."
2025-08-08,"Fundación de la NASA","El presidente Dwight D. Eisenhower firma el acta que crea la Administración Nacional de Aeronáutica y del Espacio (NASA)."
2025-08-09,"Nacimiento de Whitney Houston","Nace la icónica cantante y actriz estadounidense Whitney Houston en Newark, Nueva Jersey."
2025-08-10,"Fundación de la ciudad de Cuzco","Los conquistadores españoles fundan la ciudad de Cuzco en la capital del Imperio Inca."
2025-08-11,"Nacimiento de James Cameron","Nace el director de cine, productor y guionista canadiense, conocido por películas como Titanic y Avatar."
2025-08-12,"Primera transmisión de radio","El ingeniero Guglielmo Marconi logra la primera transmisión de radio transatlántica."
2025-08-13,"Inauguración del puente Golden Gate","El Golden Gate, uno de los puentes colgantes más famosos del mundo, se inaugura en San Francisco."
2025-08-14,"Fin de la Segunda Guerra Mundial en Asia","Japón acepta la rendición incondicional, poniendo fin a la Segunda Guerra Mundial y las hostilidades en Asia."
2025-08-15,"Creación de la Organización de las Naciones Unidas","La carta de la ONU es ratificada por 51 países fundadores, estableciendo la organización internacional."
2025-08-16,"Nacimiento de Steve Carell","Nace el actor y comediante estadounidense, conocido por su papel en la serie The Office."
2025-08-17,"Liberación de París","Las tropas aliadas, lideradas por el general Charles de Gaulle, liberan la ciudad de París de la ocupación nazi."
2025-08-18,"Nacimiento de la Cruz Roja","La Conferencia Internacional de Ginebra se celebra para fundar la Cruz Roja Internacional, una organización de ayuda humanitaria."
2025-08-19,"Primer trasplante de corazón","El cirujano Christian Barnard realiza el primer trasplante de corazón humano exitoso en Sudáfrica."
2025-08-20,"Inauguración del Museo del Louvre","El Museo del Louvre en París se abre al público por primera vez como museo de arte."